cancer_type,n_mut.SNP_in,n_mut.SNP_out,maf_targeted_seq,SBS1,SBS2,SBS5,SBS7a,SBS7d,SBS8,SBS12,SBS13,SBS16,SBS17a,SBS17b,SBS19,SBS20,SBS21,SBS22,SBS30
Pancreatic.Cancer,21751,3165,NA,0,21,0,14,46,0,0,9,0,0,0,0,33,0,0,0
Pancreatic.Cancer,22032,3257,NA,0,2,0,31,14,39,0,0,0,0,1,0,22,12,0,4
Pancreatic.Cancer,28082,4105,NA,11,21,669,0,0,0,157,22,0,0,0,0,31,0,40,8
Pancreatic.Cancer,19792,2737,NA,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Pancreatic.Cancer,28364,4168,NA,81,32,711,16,0,90,0,30,0,0,0,38,12,59,35,142
Pancreatic.Cancer,17152,2871,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Pancreatic.Cancer,26702,4472,NA,102,72,0,0,17,22,170,50,180,0,0,0,0,0,30,156
Pancreatic.Cancer,23672,4045,NA,11,30,0,4,12,0,0,39,9,0,0,0,0,80,0,33
Pancreatic.Cancer,25955,4271,NA,85,8,0,0,123,29,0,43,0,40,13,71,4,0,0,197
Pancreatic.Cancer,23303,3607,NA,0,15,0,21,22,0,0,0,0,0,0,0,0,0,0,0
Pancreatic.Cancer,23098,3322,NA,72,49,0,0,0,0,0,0,9,16,3,21,18,0,39,0
Pancreatic.Cancer,20295,2723,NA,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
Pancreatic.Cancer,16467,2144,NA,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
Pancreatic.Cancer,24052,3394,NA,152,0,0,0,16,0,0,0,0,44,26,22,0,105,57,50
Pancreatic.Cancer,22441,2891,NA,83,0,0,0,0,0,104,0,0,0,0,83,4,0,12,7
Pancreatic.Cancer,21678,2731,NA,104,1,0,0,26,0,0,0,0,20,4,13,0,0,0,0
Pancreatic.Cancer,23769,3170,NA,94,0,7,0,3,0,0,19,12,0,5,54,0,0,11,0
Pancreatic.Cancer,22446,2950,NA,141,0,0,0,55,0,10,2,36,40,0,0,0,0,1,0
Pancreatic.Cancer,29111,4133,NA,374,0,1468,0,0,0,245,4,0,4,0,47,25,0,49,125
Pancreatic.Cancer,22616,3534,NA,127,0,96,34,59,58,19,27,105,77,0,0,0,0,12,52
Pancreatic.Cancer,22874,3466,NA,0,0,0,0,16,5,26,0,0,0,13,13,33,34,0,0
Pancreatic.Cancer,21945,3402,NA,0,0,0,0,0,48,0,12,0,0,0,0,11,28,6,0
Pancreatic.Cancer,23392,3367,NA,0,0,0,4,0,0,0,7,29,60,7,0,0,54,43,0
Pancreatic.Cancer,27705,3971,NA,192,0,0,12,14,117,284,14,0,0,24,22,19,0,3,0
Breast.Cancer,28480,3892,NA,108,41,371,74,77,0,0,0,0,70,0,0,4,61,104,0
Breast.Cancer,28760,3823,NA,145,11,903,24,0,0,96,1,0,20,0,110,28,0,23,0
Breast.Cancer,26187,4130,NA,72,0,0,0,37,34,0,5,0,0,25,0,6,0,36,0
Breast.Cancer,38164,4483,NA,651,47,2218,13,131,0,442,0,0,0,0,58,95,0,103,166
Breast.Cancer,25101,3873,NA,55,0,0,0,0,37,0,0,118,0,0,0,0,0,44,0
Breast.Cancer,33293,4423,NA,347,53,1439,0,80,0,279,27,0,0,0,162,72,0,129,145
Breast.Cancer,25910,4222,NA,94,40,0,0,19,53,0,0,26,32,0,0,31,32,0,55
Breast.Cancer,25721,3965,NA,118,13,0,32,0,55,60,25,74,0,1,54,1,0,35,20
Breast.Cancer,26059,3955,NA,155,44,0,0,32,0,157,0,16,0,0,88,24,12,77,0
Breast.Cancer,31608,4411,NA,303,7,1062,0,57,0,0,6,0,27,0,52,44,0,76,180
Breast.Cancer,22440,3797,NA,0,0,0,0,1,0,10,0,0,0,0,0,0,0,2,0
